size,iteration,result
980000000,5,1.632292
980000000,6,1.618003
980000000,7,1.617875
980000000,8,1.618268
980000000,9,1.605121
1000000000,0,1.632547
1000000000,1,1.640783
1000000000,2,1.641429
1000000000,3,1.657768
1000000000,4,1.652237
1000000000,5,1.648050
1000000000,6,1.639081
1000000000,7,1.643387
1000000000,8,1.634350
1000000000,9,1.641519
